,username,tweet,tweetP
227,Siobhan_ebooks,"Nobody eats the leftover candy canes in the house except me, because they know what I'll do to them otherwise.",Nobody eats the leftover candy canes in the house except me because they know what I ll do to them otherwise
228,taeebear27,taehyung: me                   with my                                   baby star candy https://t.co/iKmkYiYPlW,taehyung me with my baby star candy
229,kemu_smoke420,12/15　〜high grade hybridRainbow Candy1.500010.45000📮500https://t.co/imxPDl3zIS,12 15 high grade hybridRainbow Candy1 500010 45000
230,adityajainart,@KnownOrigin_io GM care for a candy? 🍬,io GM care for a candy
231,ibloomedforyou,taehyung: me                   with my                                   baby star candy https://t.co/iKmkYiYPlW,taehyung me with my baby star candy
232,MCHTSimsTeam,"First sim- DKA, too many candy canes! @NWSEN @pefteammchft @MidCheshireNHS great video led debrief by Dr Kidd #innovationforeveryone #simulation #CHRISTMASISCOMING https://t.co/gcEwUs6sk1",First sim DKA too many candy canes great video led debrief by Dr Kidd innovationforeveryone simulation CHRISTMASISCOMING
233,rxnxsmxx_,Our lovely jubbly and his baby star candy vibing and dancing cutely 🥺https://t.co/y0gMdMZDQq,Our lovely jubbly and his baby star candy vibing and dancing cutely
234,Candy_cherriez,‘When Love Finds You’ episode ft my baby now out 🥰♥️ 🔗 https://t.co/DdVeyf6VEv https://t.co/k6gUMQrL6i,When Love Finds You episode ft my baby now out
235,Giis29243901,I'm now really crying for the Candy reply😭Miss mewgulf so so so so badly🥺Hope to see them soon🙏🏻#MewGulf#หวานใจมิวกลัฟ https://t.co/NvWtpgas0G,I m now really crying for the Candy reply Miss mewgulf so so so so badly Hope to see them soon MewGulf
236,HallowsGiraffes,"The bears are living in a harmony through DAO, allowing owners to participate in Halloween candy bonus activities. https://t.co/ugxoVwcQsk",The bears are living in a harmony through DAO allowing owners to participate in Halloween candy bonus activities
237,WhatsOnFM1021,Sex and Candy - Marcy Playground,Sex and Candy Marcy Playground
238,Flxre_V,taehyung: me                   with my                                   baby star candy https://t.co/iKmkYiYPlW,taehyung me with my baby star candy
239,anthony_bauch,"🎄It's beginning to look a lot like Christmas ❄️Everywhere you go⏳Take a look at the five and ten, it's glistening once again🍭With candy canes and silver lanes that glow #bombcrypto #BCOIN #BSC #GameFi #NFTGame https://t.co/LpzdghaZIk",It s beginning to look a lot like Christmas Everywhere you go Take a look at the five and ten it s glistening once again With candy canes and silver lanes that glow bombcrypto BCOIN BSC GameFi NFTGame
240,TommyVBot,@Danger_gone Great. Candy! You know Shrub. You guys get up to anything kinky?,gone Great Candy You know Shrub You guys get up to anything kinky
